time_s,ch0_uv,ch0_lead_off
156.877778,-11525.00,0
156.883333,-662.50,0
156.888889,5112.50,0
156.894444,-8525.00,0
156.900000,7687.50,0
156.905556,-1850.00,0
156.911111,5137.50,0
156.916667,14925.00,0
156.922222,5862.50,0
156.927778,-1712.50,1
156.933333,8525.00,0
156.938889,8312.50,0
156.944444,6050.00,0
156.950000,-1737.50,0
156.955556,-1925.00,0
156.961111,-2262.50,0
156.966667,5112.50,0
156.972222,-1925.00,0
156.977778,-1712.50,1
156.983333,-10062.50,0
156.988889,5137.50,0
156.994444,8725.00,0
157.000000,5462.50,0
157.005556,-1712.50,1
157.011111,5325.00,0
157.016667,5112.50,0
157.022222,10462.50,0
157.027778,-1712.50,1
157.033333,-8850.00,0
157.038889,-2062.50,0
157.044444,5125.00,0
157.050000,-1737.50,0
157.055556,-4912.50,0
157.061111,-4275.00,0
157.066667,5112.50,0
157.072222,-24937.50,0
157.077778,5262.50,0
157.083333,-1725.00,0
157.088889,5337.50,0
157.094444,11512.50,0
157.100000,4075.00,0
157.105556,-1712.50,1
157.111111,18537.50,0
157.116667,-1862.50,0
157.122222,5125.00,0
157.127778,-1937.50,0
157.133333,-11325.00,0
157.138889,-862.50,0
157.144444,5112.50,0
157.150000,-5325.00,0
157.155556,11087.50,0
157.161111,-4312.50,0
157.166667,11512.50,0
157.172222,5075.00,0
157.177778,-4087.50,0
157.183333,-1712.50,1
157.188889,11712.50,0
157.194444,5162.50,0
157.200000,12912.50,0
157.205556,-4912.50,0
157.211111,-1862.50,0
157.216667,7287.50,0
157.222222,5112.50,0
157.227778,-8312.50,0
157.233333,-1737.50,0
157.238889,-16512.50,0
157.244444,8312.50,0
157.250000,5462.50,0
157.255556,-4087.50,0
157.261111,-1712.50,1
157.266667,11712.50,0
157.272222,5162.50,0
157.277778,-12087.50,0
157.283333,-1712.50,1
157.288889,-8675.00,0
157.294444,7487.50,0
157.300000,5112.50,0
157.305556,-4912.50,0
157.311111,-1650.00,0
157.316667,11687.50,0
157.322222,5112.50,0
157.327778,9887.50,0
157.333333,-4287.50,0
157.338889,-1712.50,1
157.344444,8512.50,0
157.350000,5062.50,0
157.355556,-8487.50,0
157.361111,-1712.50,1
157.366667,-13487.50,0
157.372222,7687.50,0
157.377778,5112.50,0
157.383333,-5112.50,0
157.388889,-1875.00,0
157.394444,12687.50,0
157.400000,5112.50,0
157.405556,-11512.50,0
157.411111,-1687.50,0
157.416667,-5712.50,0
157.422222,8312.50,0
157.427778,5287.50,0
157.433333,-7287.50,0
157.438889,-1712.50,1
157.444444,11712.50,0
157.450000,5137.50,0
157.455556,13512.50,0
157.461111,-4912.50,0
157.466667,-1862.50,0
157.472222,7287.50,0
157.477778,5112.50,0
157.483333,-8312.50,0
157.488889,-1737.50,0
157.494444,-16712.50,0
157.500000,8312.50,0
157.505556,5662.50,0
157.511111,-4087.50,0
157.516667,-1712.50,1
157.522222,11712.50,0
157.527778,5162.50,0
157.533333,-15287.50,0
157.538889,-1712.50,1
157.544444,-5675.00,0
157.550000,7487.50,0
157.555556,5112.50,0
157.561111,-8312.50,0
157.566667,-1650.00,0
157.572222,15687.50,0
157.577778,5112.50,0
157.583333,10087.50,0
157.588889,-4287.50,0
157.594444,-1712.50,1
157.600000,8512.50,0
157.605556,5062.50,0
157.611111,-8687.50,0
157.616667,-1712.50,1
157.622222,-16687.50,0
157.627778,7687.50,0
157.633333,5112.50,0
157.638889,-4912.50,0
157.644444,-2087.50,0
157.650000,12287.50,0
157.655556,5112.50,0
157.661111,-11712.50,0
157.666667,-1662.50,0
157.672222,-5312.50,0
157.677778,8312.50,0
157.683333,5275.00,0
157.688889,-7287.50,0
157.694444,-1712.50,1
157.700000,11712.50,0
157.705556,5162.50,0
157.711111,13312.50,0
157.716667,-4912.50,0
157.722222,-1862.50,0
157.727778,7087.50,0
157.733333,5112.50,0
157.738889,-8312.50,0
157.744444,-1737.50,0
157.750000,-16512.50,0
157.755556,8312.50,0
157.761111,5462.50,0
157.766667,-4087.50,0
157.772222,-1712.50,1
157.777778,11712.50,0
157.783333,5175.00,0
157.788889,-15087.50,0
157.794444,-1712.50,1
157.800000,-5675.00,0
157.805556,7687.50,0
157.811111,5112.50,0
157.816667,-8312.50,0
157.822222,-1662.50,0
157.827778,15087.50,0
157.833333,5112.50,0
157.838889,10487.50,0
157.844444,-4287.50,0
157.850000,-1712.50,1
157.855556,8512.50,0
157.861111,5062.50,0
157.866667,-8687.50,0
157.872222,-1712.50,1
157.877778,-16687.50,0
157.883333,7687.50,0
157.888889,5112.50,0
157.894444,-5112.50,0
157.900000,-1875.00,0
157.905556,10287.50,0
157.911111,5112.50,0
157.916667,-11712.50,0
157.922222,-1675.00,0
157.927778,-8712.50,0
157.933333,8312.50,0
157.938889,5275.00,0
157.944444,-3887.50,0
157.950000,-1712.50,1
157.955556,11712.50,0
157.961111,5137.50,0
157.966667,13512.50,0
157.972222,-4912.50,0
157.977778,-2062.50,0
157.983333,7487.50,0
157.988889,5112.50,0
157.994444,-8312.50,0
158.000000,-1737.50,0
158.005556,25087.50,0
158.011111,8312.50,0
158.016667,5475.00,0
158.022222,-4087.50,0
158.027778,-1712.50,1
158.033333,11712.50,0
158.038889,5162.50,0
158.044444,-11887.50,0
158.050000,-1712.50,1
158.055556,-8875.00,0
158.061111,7487.50,0
158.066667,5112.50,0
158.072222,-4912.50,0
158.077778,-1662.50,0
158.083333,11687.50,0
158.088889,5112.50,0
158.094444,13487.50,0
158.100000,-4087.50,0
158.105556,-1712.50,1
158.111111,8312.50,0
158.116667,5262.50,0
158.122222,-8887.50,0
158.127778,-1712.50,1
158.133333,-20087.50,0
